iter	RMSE
0	169974.8175
1	169274.3006
2	168854.321
3	167809.6707
4	166774.5676
5	165748.2609
6	164732.2728
7	163725.2818
8	163482.6446
9	162486.6529
10	161822.9536
11	160842.1326
12	159866.2823
13	158902.3106
14	157947.6781
15	157001.1674
16	156063.2841
17	155704.3766
18	154778.9936
19	154057.9415
20	153146.2746
21	152548.2176
22	151830.1456
23	150940.0066
24	150057.9567
25	149183.769
26	148493.4994
27	147634.4862
28	147088.054
29	147010.716
30	146335.5947
31	146306.1637
32	146277.3818
33	146196.2963
34	145852.2007
35	145016.9133
36	144652.6
37	143829.4948
38	143825.7178
39	143186.5921
